tweet_id,tweet_username,tweet_text,id
859027884677189632,mlsEJA,"Dia do trabalhador e o q temos pra hoje: terceirização , reforma trabalhista, da previdência , nada pra comemorar, muito pra lutar! #ForaTemer",
859027806428299268,compartilhe13,Trabalhadores da Educação saem às ruas contra terceirização e reforma da Previdência - http:// bit.ly/2opObof #DiaDoTrabalhador,
859006616926134272,AidaTine,Meu primeiro dia do trabalhador com carteira assinada e eu lembrando que querem aprovar a reforma trabalhista é a lei da terceirização ...,
858994777043480576,jgrcampos,PT já deu apoio a terceirização e reforma da Previdência https:// youtu.be/VKHCeBUzhK0 via @YouTube,
858780444174766081,OTTOLICAS,PT já deu apoio a terceirização e reforma da Previdência : http:// ln.is/XDiKA via @YouTube by #reinaldoazevedo via @c0nvey,
858763088321028098,benevides_cris,@Sindiquimica_BA Dilma e Lula apoiam a terceirização e a Reforma da previdencia http:// ln.is/www.youtube.co m/y8IUQ …,
858763062463123458,benevides_cris,@uneoficial Dilma e Lula apoiam a terceirização e a Reforma da previdencia http:// ln.is/www.youtube.co m/Pm2pK …,
858763039302135812,benevides_cris,@ubesoficial Dilma e Lula apoiam a terceirização e a Reforma da previdencia http://www. youtube.com.ln.is/HESqo,
858763035099496448,benevides_cris,@mansualmeida Dilma e Lula apoiam a terceirização e a Reforma da previdencia http://www. youtube.com.ln.is/QHIQf,
858762978560180224,benevides_cris,@MichelTemer Dilma e Lula apoiam a terceirização e a Reforma da previdencia http:// ln.is/www.youtube.co m/khHq2 …,
858762567858221056,pimenta,Fã Clube vira-folha. Partido de meia-tigela | PT já deu apoio a terceirização e reforma da Previdência https:// youtu.be/VKHCeBUzhK0 via @YouTube,
858762004126892032,benevides_cris,"@RevistaEpoca Dilma Rousseff defendendo terceirização , e a reforma da previdência http:// ln.is/www.youtube.co m/80Fct …",
858761952327323649,benevides_cris,"@augustosnunes Dilma Rousseff defendendo terceirização , e a reforma da previdência http://www. youtube.com.ln.is/FvBun",
858761801739235329,benevides_cris,"Dilma Rousseff defendendo terceirização , e a reforma da previdência http:// ln.is/www.youtube.co m/aDnEt … via @YouTube",
858761200460496896,reinaldoazevedo,PT já deu apoio a terceirização e reforma da Previdência : http:// youtu.be/VKHCeBUzhK0?a via @YouTube,
858723997218988033,RobertaKirsten,"@geraldoalckmin_ NÉ SANTO... TERCEIRIZAÇÃO ESCRAVA, PREVIDENCIA SAFADA, DEVERIA TER REFORMA DA VERGONHA NA CARA DOS POLITICOS LADRÕES",
858691168166711298,Moller_R,O Brasil tá uma merda não por conta da reforma da previdência (necessária mas não desse jeito) e de uma possível terceirização,
858691083223662592,ferreira_edisio,Os mesmos que apoiaram o impeachment são os mesmos que aprovaram a lei dá terceirização e a reforma trabalhista agora é trab prá vencer 2018,
858667594718564352,Milliekiki,"Dilma defende a Terceirização e a Reforma da Previdência , com bastante ênfase. https:// twitter.com/Anaamvs_Sanche s/status/858528993523453953 …",
858661086429683713,antonio6xas,REFORMA DA PREVIDÊNCIA /TRABALHISTA TERCEIRIZAÇÃO ABUSO DE AUTORIDADE URGENTES DEPOIS ACHAR ROUBOS. E PRA EVITAR + ROUBO... NADA? TAMOFÚ,
858646084947783681,TTavaresdireita,VÍDEO SOBRE TERCEIRIZAÇÃO E REFORMA DA PREVIDÊNCIA pic.twitter.com/OiTSxTeKPk,
858642721036275713,mariadasneves65,"#28A , um dia histórico! #GreveGeral contra a Reforma da Previdência , Trabalhista e a Terceirização , do Governo... http:// fb.me/zFnwFsGr",
858615395670007808,depluizamaia,Terceirização irrestrita; reforma trabalhista; reforma da previdência não passarão! Vamos ocupar Brasília! Vamos cercar o Congresso Nacional!,
858528356001656832,amorderapariga,"O pai da @oizabeu é muito incrível. Militou demais. Em um minuto discutimos reforma da previdência , terceirização . E que paizão da porra viu",
858524538975506436,RickBevenuto,Terceirização e Reforma da previdência . Dilma quem iniciou tudo!: http:// youtu.be/yTKG8TSI2RA?a via @YouTube,
858524464446717952,bbb_mcd,Terceirização e Reforma da previdência . Dilma quem iniciou tudo! https://www. youtube.com/watch?v=yTKG8T SI2RA … 2017/04/30 12:31:01 #ナゲッツ親子,
858494987616628736,batomdemocratic,#Reforma da Previdência e #Terceirização herança do PT instaurada por Temer. O projeto é o mesmo! Os eleitos... http:// fb.me/t4RtBqWW,
858462316567941121,RobertoSilas12,"No dia primeiro de Maio de 2015, Dilma e o PT defenderam em Rede Nacional de TV a Terceirização e a Reforma da Previdência . pic.twitter.com/ckDxyMPdfA",
858456111350857733,kennedydiniz10,"O PT a FINAL É CONTRA OU A FAVOR DA TERCEIRIZAÇÃO , da VOLTA DA CPMF E A REFORMA DA PREVIDÊNCIA ? Tire suas... http:// fb.me/zrFicSlu",
858451787841503232,analuctenorio,"E foi-se o tempo q a gente reclamava s/ motivo no twitter. Com terceirização , reforma da previdência , lava jato a gente tm motivo p reclamar",
858442835233734656,FRANCISCOPAZ58,NÃO À TERCEIRIZAÇÃO . NÃO À REFORMA DA PREVIDÊNCIA . QUEM DEVE A PREVIDÊNCIA SÃO AS GRANDES EMPRESAS E NÃO O POVO!,
858425524162617345,mariagoalone,"Amor, fala umas sacanagens no meu ouvido: reforma da previdência , reforma trabalhista, reforma do ensino médio, lei da terceirização ...",
858343884199526400,opsdanada,"p pessoa apoiar a reforma trabalhista, terceirizaçao e reforma da previdencia tem qq no minimo ter bosta ao inves de cerebro na cabeça, pqp",
858339097731112961,rodterra,Apoio a opinião do @ptbrasil e da @dilmabr sobre terceirização e a reforma da Previdência . Espero que dessa vez não haja golpe! pic.twitter.com/GotD2nJFD4,
858336845368877056,Papo_Subversivo,"Agora que a mobilização acabou. Quero lembrar que reforma da previdência e terceirização já eram propostas no gov Dilma, tá?",
858326344899461120,PaivaSantista,"Alguém pode me explicar? Dilma defendendo terceirização e reforma da previdência . Volto a dizer, não estou... http:// fb.me/19MzjZJCt",
858320740893982720,luciaguimaraes,Da editoria Língua Não Tem Osso. Dilma defende terceirização e reforma da Previdência . https:// twitter.com/ailtonbenedito /status/858305316517228550 …,
858308192765435904,marioafilho,"Dilma defende a Terceirização e a Reforma da Previdência . E argumenta muito bem. Só lembrando aos esquecidos"": o... http:// fb.me/5OdWqmoMS""",
858306737832591360,FPetralha,"O vandalismo do PT, ontem, foi contra a  Reforma da Previdência "" do Temer e contra a "" terceirização ""? @MagnoMaltaOfc @ronaldocaiado pic.twitter.com/UaaCo0WgsU""",
858305316517228550,AiltonBenedito,Emocionante defesa da regulamentação da terceirização e da reforma da previdência pela ex-presidenta. Pena que não pode colocar em prática. pic.twitter.com/ExEywOOm32,
858292971510411264,profmenelau,Sobre Terceirização e reforma da Previdência ... http:// fb.me/8KtyBIdMY,
858217617890455552,IsraelD18241991,Sou contra a reforma da previdência social Sou a favor da revogação da lei de terceirização de serviços públicos,
858209894356443136,vanderleyrn,"No dia 1 de Maio de 2015, @dilmabr e o PT defenderam na de TV a Terceirização e a Reforma da Previdência . Agora incitam a população. pic.twitter.com/LXswmixwiM",
858183615871627264,strawberryshame,"ontem tava na prosa jurídica com tema  reforma da previdência "", hj minicurso sobre terceirização resumindo: só sei sentir ranço do governo""",
858174017508921346,Schiavon_26,"A terceirização e a reforma da previdência na boca de @dilmabr ,do @ptbrasil , VIU, @vagnercut ,viu @GuilhermeBoulos ?!? https:// l.facebook.com/l.php?u=https% 3A%2F%2Fwww.google.com.br%2Famp%2Fm.economia.estadao.com.br%2Fnoticias%2Fgeral%2Cdilma-diz-que-fara-o-possivel-para-garantir-superavit-e-inflacao-na-meta%2C10000006406.amp&h=ATMY-S4j29OHv8IO2Y99woE6ToMd4fqfSxjazgvsGy1jLurVSd6ydW7SQng_8eoUef_22M9YJaT3lJssbMt1yvXsusMpldhbPfp1pkTNUXPZ3PZDEDOTKxvmXxgNK6vLQLaeqAw&s=1 …",
858165608214654976,brain_rainman,Po como que alguém pode defender uma reforma dessas como algo isolado da lei da terceirização ? Como não consegue... http:// fb.me/ZB0hjb3v,
858159637362823168,mattos_l,"Por que vocês defendem a terceirização , a Reforma Trabalhista e o pagamento de juros da dívida pública com dinheiro da Previdência ?",
858141375770103808,Zeezinh0,"BIXO, VAMOS LÁ. A REFORMA DA PREVIDÊNCIA , LEI DA TERCEIRIZAÇÃO E MUDANÇAS NA APOSENTADORIA REFLETEM D I R E T A M E N T E EM MUDANÇAS...",
858137653258182657,tiagomorisoueu,Dória. Você apoia a Reforma Trabalhista e a Lei da Terceirização ? #MarianaGodoyEntrevista,
858131053202026496,Neto1Lvia,"A manifestaçao n é contra a a crise.É contra a reforma da previdência e a terceirização ,que sao projetos atuais",
858120383744159745,advperesnovo,Vamos ouvir a ex presidente... sobre a necessidade de regular a terceirização e a reforma da previdência !!! http:// fb.me/8YpOCaD2H,
858119513170227201,LULA_NuncaMais,"Sou contra a CUT, o PT, o LULA, o TEMER, mas tb sou contra a nova Lei de terceirização e a Reforma da Previdência .",
858111220569829377,Blacktorn9,Tarifas de energia subindo. Terceirização e reforma da previdência sendo aprovadas. Nunca esteve tão difícil viver neste país. #GreveGeral,
858110953673691138,10opaa,+ essa Reforma da Previdência e a Terceirização sim! Quem sabe um dia você possa reconhecer esse movimento importante. Lamentável...,
858109879529222144,diza2012,São desonestos por natureza. Hoje vi em vídeo Lula defender a reforma da previdência e Dilma defender a terceirização . ... O mundo gira.,
858107718539911168,marcusmln,"No dia primeiro de Maio de 2015, Dilma e o PT defenderam em Rede Nacional de TV a Terceirização e a Reforma da Previdência . pic.twitter.com/qftM5GLXXd",
858097732153729025,ibs94,Lula e Dilma: Qriam Reforma da previdência e trabalhista; Facilitar a terceirização ; Perdoaram dividas de empresas. Onde vcs tavam?,
858090917252694025,derlane05,"Reforma trabalhista, reforma da previdencia e lei da terceirização resumindo voltaremos a escravidão #QueroAposentarTemer",
858075411049218048,gustavovmb,"Lembrando que sou contra a generalização da terceirização , mas crer que a reforma da previdência não é necessária é como viver na lua.",
858075244677955585,PedroPasserini,Araraquara parou! Ato contra a Reforma da Previdência e Terceirização das 16hrs. pic.twitter.com/yPdSfCWIFe,
858073338954088448,RiquelmiBT,Pergunta: Eles aderiram a paralisação contra a reforma trabalhista/ da previdência e a terceirização ?,
858073184695758848,Luis_mergulhado,"O que prejudica o trabalhador não é a #GREVE O que prejudica é a Reforma trabalhista, da Previdência e a lei da terceirização .",
858065145326559232,diegocerqueira,No dia de hoje vale o flashback de Dilma defendendo terceirização e reforma da previdência . http://www. dailymotion.com/video/x5k2ozb_ dilma-e-o-pt-defendendo-a-reforma-da-previdencia_news … via @DailymotionUSA,
858062788475981824,TheInterceptBr,"SP: Manifestantes fazem batucada e gritam palavras de ordem contra reforma da Previdência , terceirização e mudanças na CLT. #grevegeral pic.twitter.com/s5ESD6DQy1",
858061082128199680,lasliborio,"A terceirização plena, reforma da previdência , reforma sindical, etc, é, na prática a volta da escravidão. Escravos, não trabalhadores!",
858059784892936192,angelo_nfusco,A da previdência é uma reforma a trabalhista outra. A que flexibiliza CLT é a terceirização . Até agora nada da trabalhista,
858053386406703104,redesindpdpa,SINDPD-PA NA MANIFESTAÇÃO DO DIA 28 DE ABRIL CONTRA A REFORMA DA PREVIDÊNCIA ! REFORMA TRABALHISTA E CONTRA A TERCEIRIZAÇÃO DO TRABALHADOR!,
858049923857756160,JefersonAlencar,"Reforma da previdência , previdenciária, lribda terceirização tudo precisa ser discutido. O povo já deixou claro que não aprova! #GreveGeral",
858047697479192577,OPOVOTADOIDO,"#BrasilEmGreve Na opinião deles o povo ta de acordo com as reformas trabalhistas,a terceirização e a reforma da previdência !",
858045203990675456,NiltonIPires,"E qual a tua posição sobre terceirização , reforma da previdência e reforma trabalhista???",
858044040729825280,Gabriel_LoFs,"o negócio é todo mundo abrir MEI e ser contratado terceirizado, dá pra fazer isso se a lei da terceirização e a reforma passarem",
858035227238830082,heldeni3rios,Não a terceirização ..Não a Reforma da Previdência .. Não a retirada de nossos direitos..Não ao fim da CLT #FORACORRUPTOS #BrasilEmGreve,
